,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Thai_restaurant,Waterfall
74,2,Limantour Beach,37.944965800092604,-122.50366396730139,19266,0,1,0,0,0,0,0,0,0
74,2,Limantour Beach,37.944965800092604,-122.50366396730139,19266,0,0,1,0,0,0,0,0,0
39,2,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,1,0,0,0,0,0,0,0,0
39,2,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,0,0,1,0,0,0,0,0,0
39,2,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,0,1,0,0,0,0,0,0,0
39,2,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,0,0,0,1,0,0,0,0,0
39,2,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,0,0,0,0,0,0,0,1,0
39,2,Sharp Park Beach,37.62836344273224,-122.49480128288269,19289,0,0,0,0,0,1,0,0,0
7,2,Cascade Falls,37.91252571900796,-122.56478447067339,19368,0,0,0,0,0,0,0,0,1
196,2,Vollmer Peak Trail,37.88179522655224,-122.22235861427497,19542,0,0,0,0,0,0,1,0,0
188,2,Peace Grove Look-Out,37.91925493317465,-122.2622297184923,19553,0,0,0,0,0,0,1,0,0
153,2,Inspiration Point,37.905582128883765,-122.24408569410542,19607,0,0,0,0,0,0,1,0,0
98,2,Mori Point,37.619109520385095,-122.49182939529419,20150,0,0,0,0,0,0,1,0,0
197,2,Corte Madera Creek,37.94548134415164,-122.52544855764882,20203,0,0,0,0,0,0,1,0,0
189,2,98th and doolittle,37.731599397820034,-122.19000053139735,20406,0,0,0,0,0,0,1,0,0
143,2,City of Pacifica,37.61485953404256,-122.48616960856276,20425,0,0,0,1,0,0,0,0,0
143,2,City of Pacifica,37.61485953404256,-122.48616960856276,20425,0,1,0,0,0,0,0,0,0
143,2,City of Pacifica,37.61485953404256,-122.48616960856276,20425,0,0,0,0,0,1,0,0,0
143,2,City of Pacifica,37.61485953404256,-122.48616960856276,20425,0,0,1,0,0,0,0,0,0
143,2,City of Pacifica,37.61485953404256,-122.48616960856276,20425,0,0,0,0,0,0,0,1,0
143,2,City of Pacifica,37.61485953404256,-122.48616960856276,20425,1,0,0,0,0,0,0,0,0
110,2,San Francisco Bay Trail (Bayfront Park),37.60518397824248,-122.37638175487517,20604,0,0,0,0,0,0,1,0,0
108,2,Bayfront Park,37.60374775608278,-122.37365006364335,20798,0,0,0,0,0,0,1,0,0
112,2,Site of Discovery of San Francisco Bay,37.60456373878427,-122.45784258686459,20874,0,0,0,0,0,0,1,0,0
34,2,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,0,0,0,0,0,0,0,1,0
34,2,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,1,0,0,0,0,0,0,0,0
34,2,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,0,0,0,1,0,0,0,0,0
34,2,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,0,1,0,0,0,0,0,0,0
34,2,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,0,0,1,0,0,0,0,0,0
34,2,Rockaway Beach,37.610882844563676,-122.4966949224472,21158,0,0,0,0,0,1,0,0,0
101,2,"Pantoll Trailhead, Mt Tamalpais State Park",37.90384547759446,-122.60422802320437,21341,0,0,0,0,0,0,1,0,0
69,2,San Andreas Lake,37.59619341110291,-122.4174899057323,21393,0,0,0,0,1,0,0,0,0
79,2,"East Peak, Mount Tamalpais",37.927426288831626,-122.57956917400487,21463,0,0,0,0,0,0,1,0,0
115,2,Mount.Tamalpais (Gardner Lookout),37.92912724275266,-122.57774981184392,21490,0,0,0,0,0,0,1,0,0
198,2,Mt Tamalpais Fire Lookout,37.929145455307655,-122.57779332803426,21494,0,0,0,0,0,0,1,0,0
124,2,San Rafael Bay,37.97924535396697,-122.47571741242227,22014,0,0,0,0,0,0,1,0,0
78,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,1,0,0,0,0,0,0,0,0
25,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,0,0,0,0,1,0,0,0,0
78,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,0,0,1,0,0,0,0,0,0
78,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,0,1,0,0,0,0,0,0,0
78,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,0,0,0,0,0,0,0,1,0
78,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,0,0,0,0,0,1,0,0,0
78,2,Mount Tamalpais State Park,37.906226275725324,-122.61395958130016,22185,0,0,0,1,0,0,0,0,0
104,2,Mt. Tam West Peak,37.92491285719282,-122.59526982669821,22248,0,0,0,0,0,0,1,0,0
8,2,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,0,0,0,1,0,0,0,0,0
8,2,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,0,0,1,0,0,0,0,0,0
8,2,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,0,0,0,0,0,0,0,1,0
8,2,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,1,0,0,0,0,0,0,0,0
8,2,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,0,1,0,0,0,0,0,0,0
8,2,Pacifica State Beach,37.59963768241174,-122.50142097473145,22476,0,0,0,0,0,1,0,0,0
124,2,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,0,0,0,1,0,0,0,0,0
124,2,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,0,1,0,0,0,0,0,0,0
124,2,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,0,0,1,0,0,0,0,0,0
124,2,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,0,0,0,0,0,0,0,1,0
124,2,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,1,0,0,0,0,0,0,0,0
124,2,Mickey's Beach,37.88935138191278,-122.63194300821863,22483,0,0,0,0,0,1,0,0,0
131,2,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,0,0,0,0,0,0,0,1,0
131,2,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,0,0,0,1,0,0,0,0,0
131,2,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,0,1,0,0,0,0,0,0,0
131,2,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,0,0,0,0,0,1,0,0,0
131,2,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,0,0,1,0,0,0,0,0,0
131,2,Surfrider Pro/Am,37.598677132470016,-122.50262260437012,22614,1,0,0,0,0,0,0,0,0
159,2,Surf Camp Pacifica,37.59670536410829,-122.5037386564628,22854,0,0,0,0,0,1,0,0,0
159,2,Surf Camp Pacifica,37.59670536410829,-122.5037386564628,22854,0,0,0,0,0,0,0,1,0
159,2,Surf Camp Pacifica,37.59670536410829,-122.5037386564628,22854,0,0,0,1,0,0,0,0,0
159,2,Surf Camp Pacifica,37.59670536410829,-122.5037386564628,22854,1,0,0,0,0,0,0,0,0
159,2,Surf Camp Pacifica,37.59670536410829,-122.5037386564628,22854,0,1,0,0,0,0,0,0,0
159,2,Surf Camp Pacifica,37.59670536410829,-122.5037386564628,22854,0,0,1,0,0,0,0,0,0
70,2,Anza Lagoon,37.590061612310265,-122.3417329371637,22884,0,0,0,0,1,0,0,0,0
160,2,Wind Over Water,37.59049982564689,-122.33950044236664,22889,0,0,0,0,0,0,0,1,0
160,2,Wind Over Water,37.59049982564689,-122.33950044236664,22889,0,0,1,0,0,0,0,0,0
160,2,Wind Over Water,37.59049982564689,-122.33950044236664,22889,1,0,0,0,0,0,0,0,0
160,2,Wind Over Water,37.59049982564689,-122.33950044236664,22889,0,0,0,0,0,1,0,0,0
160,2,Wind Over Water,37.59049982564689,-122.33950044236664,22889,0,0,0,1,0,0,0,0,0
160,2,Wind Over Water,37.59049982564689,-122.33950044236664,22889,0,1,0,0,0,0,0,0,0
49,2,McNear's Beach,37.991922249455016,-122.452648131061,22967,1,0,0,0,0,0,0,0,0
49,2,McNear's Beach,37.991922249455016,-122.452648131061,22967,0,0,1,0,0,0,0,0,0
49,2,McNear's Beach,37.991922249455016,-122.452648131061,22967,0,1,0,0,0,0,0,0,0
49,2,McNear's Beach,37.991922249455016,-122.452648131061,22967,0,0,0,1,0,0,0,0,0
49,2,McNear's Beach,37.991922249455016,-122.452648131061,22967,0,0,0,0,0,1,0,0,0
49,2,McNear's Beach,37.991922249455016,-122.452648131061,22967,0,0,0,0,0,0,0,1,0
125,2,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,0,0,1,0,0,0,0,0,0
125,2,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,0,1,0,0,0,0,0,0,0
125,2,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,0,0,0,0,0,0,0,1,0
125,2,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,1,0,0,0,0,0,0,0,0
125,2,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,0,0,0,0,0,1,0,0,0
125,2,Tide Pools @ Linda Mar Beach,37.59643296746307,-122.50727891921996,22996,0,0,0,1,0,0,0,0,0
161,2,Stinson Beach Park,37.89437942354413,-122.6350944763846,23005,0,1,0,0,0,0,0,0,0
161,2,Stinson Beach Park,37.89437942354413,-122.6350944763846,23005,0,0,1,0,0,0,0,0,0
161,2,Stinson Beach Park,37.89437942354413,-122.6350944763846,23005,0,0,0,1,0,0,0,0,0
161,2,Stinson Beach Park,37.89437942354413,-122.6350944763846,23005,0,0,0,0,0,1,0,0,0
161,2,Stinson Beach Park,37.89437942354413,-122.6350944763846,23005,0,0,0,0,0,0,0,1,0
161,2,Stinson Beach Park,37.89437942354413,-122.6350944763846,23005,1,0,0,0,0,0,0,0,0
190,2,Top of Hillside,37.58076519972198,-122.40464133084842,23108,0,0,0,0,0,0,1,0,0
50,2,Shelter Cove,37.59727028292145,-122.5137073179465,23127,0,0,0,1,0,0,0,0,0
50,2,Shelter Cove,37.59727028292145,-122.5137073179465,23127,0,0,1,0,0,0,0,0,0
50,2,Shelter Cove,37.59727028292145,-122.5137073179465,23127,0,1,0,0,0,0,0,0,0
50,2,Shelter Cove,37.59727028292145,-122.5137073179465,23127,0,0,0,0,0,0,0,1,0
50,2,Shelter Cove,37.59727028292145,-122.5137073179465,23127,0,0,0,0,0,1,0,0,0
50,2,Shelter Cove,37.59727028292145,-122.5137073179465,23127,1,0,0,0,0,0,0,0,0
126,2,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,0,0,0,0,0,1,0,0,0
126,2,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,0,0,0,0,0,0,0,1,0
126,2,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,0,0,1,0,0,0,0,0,0
126,2,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,0,0,0,1,0,0,0,0,0
126,2,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,0,1,0,0,0,0,0,0,0
126,2,Stinson-Red Rocks Beach,37.89497642934278,-122.63852179544281,23298,1,0,0,0,0,0,0,0,0
191,2,Hillside Drive,37.5806751677561,-122.37556077313204,23316,0,0,0,0,0,0,1,0,0
43,2,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,0,0,0,0,0,0,0,1,0
43,2,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,1,0,0,0,0,0,0,0,0
43,2,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,0,0,1,0,0,0,0,0,0
43,2,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,0,0,0,0,0,1,0,0,0
43,2,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,0,0,0,1,0,0,0,0,0
43,2,Coyote Point Beach,37.58967456176561,-122.32611179351805,23326,0,1,0,0,0,0,0,0,0
154,2,Mills Creek Canyon Park,37.578510324738104,-122.3902587994863,23421,0,0,0,0,0,0,1,0,0
134,2,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,0,1,0,0,0,0,0,0,0
134,2,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,0,0,0,1,0,0,0,0,0
134,2,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,0,0,1,0,0,0,0,0,0
134,2,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,1,0,0,0,0,0,0,0,0
134,2,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,0,0,0,0,0,1,0,0,0
134,2,Sandpiper Inn,37.897484545779555,-122.63836361681581,23430,0,0,0,0,0,0,0,1,0
4,2,Cataract Falls,37.924375079116786,-122.61472137389539,23486,0,0,0,0,0,0,0,0,1
166,2,Breakers Cafe,37.89839741231138,-122.63909363089637,23537,0,0,0,1,0,0,0,0,0
166,2,Breakers Cafe,37.89839741231138,-122.63909363089637,23537,0,1,0,0,0,0,0,0,0
166,2,Breakers Cafe,37.89839741231138,-122.63909363089637,23537,0,0,0,0,0,1,0,0,0
166,2,Breakers Cafe,37.89839741231138,-122.63909363089637,23537,0,0,0,0,0,0,0,1,0
166,2,Breakers Cafe,37.89839741231138,-122.63909363089637,23537,0,0,1,0,0,0,0,0,0
166,2,Breakers Cafe,37.89839741231138,-122.63909363089637,23537,1,0,0,0,0,0,0,0,0
96,2,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,0,0,0,1,0,0,0,0,0
96,2,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,0,1,0,0,0,0,0,0,0
96,2,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,0,0,1,0,0,0,0,0,0
96,2,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,1,0,0,0,0,0,0,0,0
96,2,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,0,0,0,0,0,1,0,0,0
96,2,Parkside Cafe,37.897753129890724,-122.63976837505516,23551,0,0,0,0,0,0,0,1,0
82,2,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,0,1,0,0,0,0,0,0,0
82,2,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,0,0,0,0,0,1,0,0,0
82,2,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,0,0,0,0,0,0,0,1,0
82,2,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,0,0,0,1,0,0,0,0,0
82,2,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,1,0,0,0,0,0,0,0,0
82,2,Coyote Point County Park,37.587625665977896,-122.32508182525635,23572,0,0,1,0,0,0,0,0,0
65,2,Phoenix Lake,37.955009693643646,-122.57650136947632,23604,0,0,0,0,1,0,0,0,0
7,2,Stinson Beach,37.89758306612806,-122.6411156647251,23642,0,0,1,0,0,0,0,0,0
7,2,Stinson Beach,37.89758306612806,-122.6411156647251,23642,0,0,0,0,0,0,0,1,0
7,2,Stinson Beach,37.89758306612806,-122.6411156647251,23642,0,1,0,0,0,0,0,0,0
7,2,Stinson Beach,37.89758306612806,-122.6411156647251,23642,0,0,0,1,0,0,0,0,0
7,2,Stinson Beach,37.89758306612806,-122.6411156647251,23642,1,0,0,0,0,0,0,0,0
7,2,Stinson Beach,37.89758306612806,-122.6411156647251,23642,0,0,0,0,0,1,0,0,0
71,2,The Lake At Woodlake,37.58128518802854,-122.33028462925094,24103,0,0,0,0,1,0,0,0,0
158,2,The Landing Café,37.752983144207825,-122.13977420821791,24144,0,0,0,0,0,0,1,0,0
62,2,Lake Lagunitas,37.94921049448448,-122.59750238393072,24308,0,0,0,0,1,0,0,0,0
204,2,Orinda Oaks Open Space Preserve,37.85994671759408,-122.14681148529053,24519,0,0,0,0,0,0,1,0,0
128,2,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,0,0,0,0,0,1,0,0,0
128,2,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,0,0,0,1,0,0,0,0,0
128,2,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,0,1,0,0,0,0,0,0,0
128,2,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,0,0,1,0,0,0,0,0,0
128,2,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,0,0,0,0,0,0,0,1,0
128,2,BayLink Ferry,38.00895187044783,-122.39237204843118,24614,1,0,0,0,0,0,0,0,0
116,2,"Bay Trail, San Leandro",37.67854200352777,-122.16145259036571,25100,0,0,0,0,0,0,1,0,0
64,2,Bon Tempe Lake,37.95528007972603,-122.60456367666744,25225,0,0,0,0,1,0,0,0,0
52,2,China Camp State Park,38.00632726106372,-122.49444881782223,25366,0,0,0,0,0,0,0,1,0
52,2,China Camp State Park,38.00632726106372,-122.49444881782223,25366,0,1,0,0,0,0,0,0,0
52,2,China Camp State Park,38.00632726106372,-122.49444881782223,25366,1,0,0,0,0,0,0,0,0
52,2,China Camp State Park,38.00632726106372,-122.49444881782223,25366,0,0,0,1,0,0,0,0,0
52,2,China Camp State Park,38.00632726106372,-122.49444881782223,25366,0,0,1,0,0,0,0,0,0
52,2,China Camp State Park,38.00632726106372,-122.49444881782223,25366,0,0,0,0,0,1,0,0,0
194,2,The Overpass,37.721024943358366,-122.13418916645742,25445,0,0,0,0,0,0,1,0,0
117,2,Ryder Park,37.574906319510355,-122.3065744420163,25458,0,0,0,0,0,0,1,0,0
45,2,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,1,0,0,0,0,0,0,0,0
45,2,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,0,0,1,0,0,0,0,0,0
45,2,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,0,0,0,0,0,0,0,1,0
45,2,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,0,1,0,0,0,0,0,0,0
45,2,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,0,0,0,1,0,0,0,0,0
45,2,"Sea Drift, Stinson Beach",37.90620037982175,-122.66089866349535,25626,0,0,0,0,0,1,0,0,0
121,2,Devil's Slide Coastal Trail,37.57226372252469,-122.5164311950566,25796,0,0,0,0,0,0,1,0,0
72,2,Crocker Lake,37.55750848926517,-122.38087037204052,25823,0,0,0,0,1,0,0,0,0
141,2,Montara Mountain North Peak,37.56138445427077,-122.47766223022538,25943,0,0,0,0,0,0,1,0,0
74,2,Lagoon Park,38.00133688410267,-122.53141880035402,25985,0,0,0,0,1,0,0,0,0
206,2,The Rim Trail,37.88490459434162,-122.13977881353513,26117,0,0,0,0,0,0,1,0,0
104,2,Marin County Fair,38.00269631802655,-122.53169159465246,26133,0,0,0,0,1,0,0,0,0
99,2,Devil's Slide Gun Turret,37.568166441011144,-122.51657165443144,26226,0,0,0,0,0,0,1,0,0
16,2,Alpine Dam,37.94056915926411,-122.63861436564406,26252,0,0,0,0,1,0,0,0,0
136,2,Alpine Dam,37.94056915926411,-122.63861436564406,26252,0,0,0,0,0,0,1,0,0
75,2,Alpine Lake,37.94056566897255,-122.63861571770481,26252,0,0,0,0,1,0,0,0,0
129,2,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,0,0,0,0,0,0,0,1,0
129,2,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,1,0,0,0,0,0,0,0,0
129,2,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,0,0,0,1,0,0,0,0,0
129,2,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,0,1,0,0,0,0,0,0,0
129,2,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,0,0,1,0,0,0,0,0,0
129,2,Upper Kite Launch @ 3rd Ave,37.574480785682915,-122.28456974029541,26260,0,0,0,0,0,1,0,0,0
76,2,Stinson Lagoon,37.90819,-122.670437,26461,0,0,0,0,1,0,0,0,0
18,2,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,0,0,0,0,0,0,0,1,0
18,2,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,0,0,0,1,0,0,0,0,0
18,2,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,0,0,0,0,0,1,0,0,0
18,2,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,0,0,1,0,0,0,0,0,0
18,2,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,1,0,0,0,0,0,0,0,0
18,2,Gray Whale Cove State Beach,37.56441204734022,-122.51332052515518,26518,0,1,0,0,0,0,0,0,0
144,2,Gray Whale Cove Trail,37.558346,-122.51367,27164,0,0,1,0,0,0,0,0,0
144,2,Gray Whale Cove Trail,37.558346,-122.51367,27164,0,0,0,0,0,1,0,0,0
144,2,Gray Whale Cove Trail,37.558346,-122.51367,27164,0,0,0,1,0,0,0,0,0
144,2,Gray Whale Cove Trail,37.558346,-122.51367,27164,1,0,0,0,0,0,0,0,0
144,2,Gray Whale Cove Trail,37.558346,-122.51367,27164,0,0,0,0,0,0,0,1,0
144,2,Gray Whale Cove Trail,37.558346,-122.51367,27164,0,1,0,0,0,0,0,0,0
65,2,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,0,0,0,1,0,0,0,0,0
65,2,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,0,0,0,0,0,0,0,1,0
65,2,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,1,0,0,0,0,0,0,0,0
65,2,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,0,0,0,0,0,1,0,0,0
65,2,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,0,0,1,0,0,0,0,0,0
65,2,Foster City Beach On The Bay,37.57075896374043,-122.26924702954213,27226,0,1,0,0,0,0,0,0,0
28,2,San Lorenzo Park,37.66526994302172,-122.14227964317361,27299,0,0,0,0,1,0,0,0,0
46,2,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,0,0,0,0,0,0,0,1,0
46,2,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,0,0,1,0,0,0,0,0,0
46,2,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,0,0,0,1,0,0,0,0,0
46,2,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,0,0,0,0,0,1,0,0,0
46,2,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,0,1,0,0,0,0,0,0,0
46,2,Bolinas Beach,37.906735890688026,-122.68451186882724,27458,1,0,0,0,0,0,0,0,0
120,2,McNee Ranch State Park,37.55386177713541,-122.50772953033449,27467,0,0,0,0,0,0,1,0,0
103,2,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,0,0,0,0,0,1,0,0,0
103,2,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,0,1,0,0,0,0,0,0,0
103,2,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,0,0,0,0,0,0,0,1,0
103,2,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,1,0,0,0,0,0,0,0,0
103,2,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,0,0,1,0,0,0,0,0,0
103,2,Two Mile Surf Shop,37.90818343396018,-122.68704998364055,27731,0,0,0,1,0,0,0,0,0
